lyrics,label
"But who else is as pitiless, actually witty and crass, hideous",1
"Ghastly, and insidious as me, or spitting as nasty?",0
Next idiot ask me is getting his ass beat worse than Diddy did ****,1
"But on the real, though (What?)",0
She probably ran out the room with his fuckin' dildo (Come here),1
"He try to field goal punt her, she said to chill (No)",0
"Now put it back in my ass and get the steel toe (Ew, ah, the fuck? Yeah)",1
"Got nightmares, going' Freddy on me (Why?)",0
"'because they steady haunt me (Yeah, oh)",0
"Shady's bad to the core, but look at the bread he got me (Bread)",0
"Complete lack of remorse, so they have come at me before, but they will not ever stop me",0
But fuck the back and the forth until I am dead and rotting,1
Head is probably whacked and it is warped like Jack Kevork',0
Performin' sexual acts with a corpse,1
"If they do not like it, like a necrophiliac in the morgue (What?), fuck everybody (Haha, yeah)",1
"I do not appeal to you, you was one of them children whose (What?)",0
Parents fed every meal to you on a platter and silver spoon,0
I am a product of what Farina and powdered milk'll do (What?),0
To your drive when them rappers like Jada bring out the will in you (Woo),0
"'because now my shit slaps harder than Will'll do, word to Gorilla Glue (Why?)",1
I do not need sticky fingers to steal on you (Nah),1
"Lyrical killer who punish you, every syllable sonnin' you (Yeah)",0
"Your hides, I tanned 'em like bicycles built for two",0
"Stickin' a clip in the Uz' that I have been itchin' to use, lookin' like Nikolas Cruz",0
"My trigger's happy, it is ticklish, true, Travis Bickle 'em too, we gettin' rude",0
"This shit'll go sideways like you are tippin' a canoe, bitch, I am sick as the flu (Bitch)",1
"How the fuck are you going to fit in my shoes? Look at my views, all the shit I have been through",1
"So, sympathy, I do not have any for you, stickin' it to all you idiots who",0
"Take my lyrics a little bit too literal, you can all suck on my dick and if you",1
"do not want to get ripped, better get the fuck back, bitch, I am here to do what Dre sent me to do (What?)",1
"that is sinfully get to spitting this shit, devil in me and I do his bidding, his name is",1
[Chorus: Eminem & Traci Nelson],0
"Marshall, he is the Antichrist",0
He will slice and dice,0
"Sluts, whores, men, women, and children (One more time, what is my name?)",1
"His name is Marshall, he is the Antichrist",0
He will slice and dice,0
"Skanks, sluts, whores, men, women, and children",1
[Outro: Bizarre],0
"You want to dance with the devil, dance with the devil, dance with the devil",0
"You want to dance with the devil, dance with the devil, dance with the devil",0
You want to—,0
,0
[Part II],0
[Intro: Bizarre],0
(I have not going' nowhere),0
"it is about to get scary, Bizarre (I am still here, ayy-ayy, ayy-ayy, ayy-ayy)",1
it is about to get dark,1
,0
[Verse: Bizarre],0
"Guess who is back (Yeah), straight out the gutter (Me)",0
"With a dirty rubber, plus my homeless mother (Fuck her)",1
Where Bruce Jenner at? I want to fuck that ho (Where she is?),1
Where is Megan Thee Stallion at? I want to suck that toe (Mwah),1
"Twenty years in, shit, I am past addiction (Uh-huh)",1
"I am at CVS, tryna find my past prescription",0
"My dad did not listen, I passed the mission",1
"Fuckin' a tranny on IG Live, that was a bad decision (Haha, that was fucked up)",1
"My rent due, my girl need an abortion (What you gon' do? What?)",1
"Sell them Eminem Jordans (I did, haha)",0
"All gas, butt-naked, all ass",1
Tryna get on Hailie Jade's podcast (Why not?)26Embed,0
197 ContributorsTranslationsTürkçeDeutschРусскийPolskiLucifer Lyrics[Intro: Eminem & Ron Palmer],0
The coup de grâce is the final shot,0
Right between the eyes,0
"Also known (Haha) as the kill shot (People, yeah)",0
Something to stop the pain (Woo),0
It feels so good to be bad,0
"Alright, here we go, alright, I'ma start this, I got it",1
,0
[Verse 1: Eminem],0
"Before I get banned, kicked off Twitter",0
"And TikTok 'because they so damn ticked off, bitter",1
They want me to bounce (Like what?) like a fabric softener,0
"We just got rid of Ye, go kick rocks with him (Ayy)",0
But Dre on beats with the white-faced blondie on the mic,0
Is like (What?) havin' Steady B and Cool C in the ride,0
Like we rap and did a little bank robbery on the side,0
"So they want beef, we can make like Bonnie and collide",0
"Haters can meet the same exact fate as my dad, wait",0
"Least he did not miss me graduate (Okay, yeah, great)",0
"But, Mom, do I still act eight?",0
"Uh, maybe a little, Debbie (What?) like a snack cake (Slut)",1
,0
[Pre-Chorus: Eminem],0
But if this is what he do to his mom,0
"Imagine what he would do to you, I am a lunatic armed",0
"And if it is you I use the clip on, for you to respond",0
"Is ludicrous, ma, look at what your uterus spawned, Lucifer",0
You might also like[Chorus: Sly Pyper & Eminem],0
Must be a cold day in Hell (Yeah),1
"Tell me, what have we done? (Woah)",0
Take me out my misery,0
I bought Heaven when it was up for sale,0
"And now I need a refund, bae (Yeah, wait, what the fuck? where did I put my—)",1
,0
[Verse 2: Eminem],0
"I think someone messed with my meds probably (Yo, who took my—)",0
"I bet it is my ex, Molly, that I have bludgeoned to death",0
"Already severed the head, I smell the fresh scent of flesh rotting",0
So it is breakfast in bed if I wake up next to a dead body (Ah),0
"Multiple lacerations, contusions, abrasions, bruises",0
"Hallucinations, delusions, abusive, my language usage",0
"They lose it when Dre produced it, as soon as he plays the music",0
"it is lunacy, treat the beat like a choice, Shady chews it",0
"Now all I see is dollar signs, losers",0
"Bitch, I was in them trenches like them Columbine shooters",1
"I was down bad, broke, and almost abandoned hope (Now what?)",0
Now my followers are like a Satanic cult (What?),0
"Yeah, they listen to me like when Manson spoke (Shh)",0
"They say I do not know struggle no more, that is a joke (Haha)",0
"Bitch, the fuckin' elevator in my mansion's broke (See?)",1
I have to walk like half a block to get a can of Coke (Damn),1
"And Candace O, I have not mad at her (Ah)",0
I have not gon' throw the fact bitch forgot she was Black back at her,1
Laugh at her like them crackers she is backin' after her back is turned,0
"In a cute MAGA hat with her brand-new White Lives Matter shirt (Haha, nope)",0
Or say this MAGA dirtbag in a skirt,0
Just opened the biggest can of worms on the whole planet Earth,0
"Call her ""Grand Wizard"" (Yeah), ""Klandace"" (Haha), or ""Grand Dragon,"" or",1
"Like the national anthem, I will not stand for the tramp (Why?)",1
But I cannot diss her 'because my plans are to get in her pants and I will blow my chance if I answer back to her,0
My shit is like taking Deborah Mathers at her word,1
"Yeah, I am that absurd, we had a spat, then afterwards",0
"We squashed the beef like a hamburger patty, or should I say gigantic turd?",1
'because I put that shit to bed like Amber Heard at a Mattress Firm (Slut),1
[Pre-Chorus: Eminem],0
But if this is what he do to his mom (Pfft),0
"Imagine what he would do to you (Pfft, ha), I am a lunatic armed",0
"And if it is you I use the clip on, for you to respond",0
"Is ludicrous, ma, look at what your uterus spawned, Lucifer",0
,0
[Chorus: Sly Pyper & Eminem],0
This must be a cold day in Hell (Yeah),1
"Tell me, what have we done? (Woah)",0
Take me out my misery,0
I bought Heaven when it was up for sale,0
"And now I need a refund, bae (Yeah)",0
,0
[Verse 3: Eminem & Sly Pyper],0
So whether you friend or you are foe (Woah),0
"Far as bars go, even fuckin' retards know (Yeah)",1
"That as far as smoke with me, I do not think it would be smart, so (Woah)",0
"Might as well go lookin' for smoke with Lamar, bro (Yeah, yeah)",0
"But, Marshall",0
you are gettin' more perverse every time you record a verse and,0
"it is like you came from 2000, stepped out a portal, cursin'",0
Hurlin' horrible slurs towards the world and,0
Why cannot you make fun of people behind their backs like a normal person?,0
"But when you reach these heights, freedom of speech dies (What?)",0
"With every line that I recite, them PC police try",0
To throw me in jail with no bail like a peace prize,0
"For all of them years (What?), they reduced me to tears (Yeah)",0
"Tried to shrink me to pea-sized, only to see my (What?)",0
"Self-esteem rise, now these are my replies (Mm)",0
"They made me eat shit (Shit), I fed it back to 'em three times (Yeah)",1
Stepfather's the only (What?) one I ever been beat by (Ha),0
"Squeeze mics like Burmese pythons (Yeah), here's for each time (What?)",0
"You sleep on the flow (What?), ho, you hear these strings climb (Yeah)",0
"You reap what you sow (So what?), so first I must weave rhymes (Yeah)",0
"So seamlessly, then I'ma leave eyes",0
"In a state of disbelief, my",0
"Genius is a trait, so the gap's in our genes, right? (Haha, the gap)",0
At least that is what it seems like,0
And I am Lucifer and Dre's the producer for the antichrist22Embed,0
